results/fpppp_tsbp_128KB.txt:bpred_tsbp.bpred_jr_rate    0.8009 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/fpppp_tsbp_16KB.txt:bpred_tsbp.bpred_jr_rate    0.8333 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/fpppp_tsbp_1MB.txt:bpred_tsbp.bpred_jr_rate    0.8148 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/fpppp_tsbp_256KB.txt:bpred_tsbp.bpred_jr_rate    0.8056 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/fpppp_tsbp_32KB.txt:bpred_tsbp.bpred_jr_rate    0.8333 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/fpppp_tsbp_512KB.txt:bpred_tsbp.bpred_jr_rate    0.8009 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/fpppp_tsbp_64KB.txt:bpred_tsbp.bpred_jr_rate    0.8009 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/gcc_tsbp_128KB.txt:bpred_tsbp.bpred_jr_rate    0.7702 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/gcc_tsbp_16KB.txt:bpred_tsbp.bpred_jr_rate    0.7680 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/gcc_tsbp_1MB.txt:bpred_tsbp.bpred_jr_rate    0.7705 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/gcc_tsbp_256KB.txt:bpred_tsbp.bpred_jr_rate    0.7711 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/gcc_tsbp_32KB.txt:bpred_tsbp.bpred_jr_rate    0.7690 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/gcc_tsbp_512KB.txt:bpred_tsbp.bpred_jr_rate    0.7707 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/gcc_tsbp_64KB.txt:bpred_tsbp.bpred_jr_rate    0.7697 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/go_tsbp_128KB.txt:bpred_tsbp.bpred_jr_rate    0.9324 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/go_tsbp_16KB.txt:bpred_tsbp.bpred_jr_rate    0.9230 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/go_tsbp_1MB.txt:bpred_tsbp.bpred_jr_rate    0.9299 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/go_tsbp_256KB.txt:bpred_tsbp.bpred_jr_rate    0.9338 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/go_tsbp_32KB.txt:bpred_tsbp.bpred_jr_rate    0.9281 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/go_tsbp_512KB.txt:bpred_tsbp.bpred_jr_rate    0.9340 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/go_tsbp_64KB.txt:bpred_tsbp.bpred_jr_rate    0.9302 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/ijpeg_tsbp_128KB.txt:bpred_tsbp.bpred_jr_rate    1.0000 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/ijpeg_tsbp_16KB.txt:bpred_tsbp.bpred_jr_rate    1.0000 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/ijpeg_tsbp_1MB.txt:bpred_tsbp.bpred_jr_rate    1.0000 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/ijpeg_tsbp_256KB.txt:bpred_tsbp.bpred_jr_rate    1.0000 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/ijpeg_tsbp_32KB.txt:bpred_tsbp.bpred_jr_rate    1.0000 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/ijpeg_tsbp_512KB.txt:bpred_tsbp.bpred_jr_rate    1.0000 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/ijpeg_tsbp_64KB.txt:bpred_tsbp.bpred_jr_rate    1.0000 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/li_tsbp_128KB.txt:bpred_tsbp.bpred_jr_rate    0.9103 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/li_tsbp_16KB.txt:bpred_tsbp.bpred_jr_rate    0.9063 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/li_tsbp_1MB.txt:bpred_tsbp.bpred_jr_rate    0.9060 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/li_tsbp_256KB.txt:bpred_tsbp.bpred_jr_rate    0.9020 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/li_tsbp_32KB.txt:bpred_tsbp.bpred_jr_rate    0.9075 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/li_tsbp_512KB.txt:bpred_tsbp.bpred_jr_rate    0.9105 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/li_tsbp_64KB.txt:bpred_tsbp.bpred_jr_rate    0.9108 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/m88ksim_tsbp_128KB.txt:bpred_tsbp.bpred_jr_rate    0.8609 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/m88ksim_tsbp_16KB.txt:bpred_tsbp.bpred_jr_rate    0.8491 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/m88ksim_tsbp_1MB.txt:bpred_tsbp.bpred_jr_rate    0.8513 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/m88ksim_tsbp_256KB.txt:bpred_tsbp.bpred_jr_rate    0.8520 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/m88ksim_tsbp_32KB.txt:bpred_tsbp.bpred_jr_rate    0.8727 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/m88ksim_tsbp_512KB.txt:bpred_tsbp.bpred_jr_rate    0.8341 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/m88ksim_tsbp_64KB.txt:bpred_tsbp.bpred_jr_rate    0.8662 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/perl_tsbp_128KB.txt:bpred_tsbp.bpred_jr_rate    0.6423 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/perl_tsbp_16KB.txt:bpred_tsbp.bpred_jr_rate    0.6422 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/perl_tsbp_1MB.txt:bpred_tsbp.bpred_jr_rate    0.6422 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/perl_tsbp_256KB.txt:bpred_tsbp.bpred_jr_rate    0.6422 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/perl_tsbp_32KB.txt:bpred_tsbp.bpred_jr_rate    0.6422 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/perl_tsbp_512KB.txt:bpred_tsbp.bpred_jr_rate    0.6423 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/perl_tsbp_64KB.txt:bpred_tsbp.bpred_jr_rate    0.6423 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/vortex_tsbp_128KB.txt:bpred_tsbp.bpred_jr_rate    0.8633 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/vortex_tsbp_16KB.txt:bpred_tsbp.bpred_jr_rate    0.8394 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/vortex_tsbp_1MB.txt:bpred_tsbp.bpred_jr_rate    0.8468 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/vortex_tsbp_256KB.txt:bpred_tsbp.bpred_jr_rate    0.8533 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/vortex_tsbp_32KB.txt:bpred_tsbp.bpred_jr_rate    0.8519 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/vortex_tsbp_512KB.txt:bpred_tsbp.bpred_jr_rate    0.8477 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/vortex_tsbp_64KB.txt:bpred_tsbp.bpred_jr_rate    0.8642 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
